BidRequestID,DecisionNo,Decision,OverallDecision,SumRep,NumReps,PreviousBids,PreviousCancels,numbids,ttype,avbid,cost,sellRep,bidAmount,btype,aucwt,aucwt2
1445485,1,1,1,10,1,2,2,10,1,301.903237,0,0,0,-7,6.97151206745174e-07,0.999999302848764
1445485,2,0,1,10,1,2,2,10,1,301.903237,216,10,321,3,6.97151206745174e-07,0.999999302848764
1445485,3,0,1,10,1,2,2,10,1,301.903237,249,9,344,2,6.97151206745174e-07,0.999999302848764
1445485,4,0,1,10,1,2,2,10,1,301.903237,223,8,312,1,6.97151206745174e-07,0.999999302848764
1445485,5,0,1,10,1,2,2,10,1,301.903237,248,8,342,1,6.97151206745174e-07,0.999999302848764
1445485,6,0,1,10,1,2,2,10,1,301.903237,162,8,241,1,6.97151206745174e-07,0.999999302848764
1445485,7,0,1,10,1,2,2,10,1,301.903237,207,10,311,3,6.97151206745174e-07,0.999999302848764
1445485,8,0,1,10,1,2,2,10,1,301.903237,155,9,237,2,6.97151206745174e-07,0.999999302848764
1445485,9,0,1,10,1,2,2,10,1,301.903237,204,8,290,1,6.97151206745174e-07,0.999999302848764
1445485,10,0,1,10,1,2,2,10,1,301.903237,214,9,304,2,6.97151206745174e-07,0.999999302848764
1445485,11,0,1,10,1,2,2,10,1,301.903237,215,10,317,3,6.97151206745174e-07,0.999999302848764
1422674,1,1,1,0,0,0,0,10,1,285.901199,0,0,0,-7,2.86933053650684e-14,0.99999999976737
1422674,2,0,1,0,0,0,0,10,1,285.901199,170,9,251,2,2.86933053650684e-14,0.99999999976737
1422674,3,0,1,0,0,0,0,10,1,285.901199,246,10,347,3,2.86933053650684e-14,0.99999999976737
1422674,4,0,1,0,0,0,0,10,1,285.901199,224,10,327,3,2.86933053650684e-14,0.99999999976737
1422674,5,0,1,0,0,0,0,10,1,285.901199,218,8,306,1,2.86933053650684e-14,0.99999999976737
1422674,6,0,1,0,0,0,0,10,1,285.901199,172,8,252,1,2.86933053650684e-14,0.99999999976737
1422674,7,0,1,0,0,0,0,10,1,285.901199,153,9,233,2,2.86933053650684e-14,0.99999999976737
1422674,8,0,1,0,0,0,0,10,1,285.901199,159,9,238,2,2.86933053650684e-14,0.99999999976737
1422674,9,0,1,0,0,0,0,10,1,285.901199,204,10,308,3,2.86933053650684e-14,0.99999999976737
1422674,10,0,1,0,0,0,0,10,1,285.901199,238,9,331,2,2.86933053650684e-14,0.99999999976737
1422674,11,0,1,0,0,0,0,10,1,285.901199,153,10,265,3,2.86933053650684e-14,0.99999999976737
484717,1,1,1,51,6,20,13,10,1,294.942102,0,0,0,-7,3.76472030279138e-06,0.999996235278387
484717,2,0,1,51,6,20,13,10,1,294.942102,223,9,313,2,3.76472030279138e-06,0.999996235278387
484717,3,0,1,51,6,20,13,10,1,294.942102,248,9,342,2,3.76472030279138e-06,0.999996235278387
484717,4,0,1,51,6,20,13,10,1,294.942102,243,10,347,3,3.76472030279138e-06,0.999996235278387
484717,5,0,1,51,6,20,13,10,1,294.942102,204,8,290,1,3.76472030279138e-06,0.999996235278387
484717,6,0,1,51,6,20,13,10,1,294.942102,170,8,250,1,3.76472030279138e-06,0.999996235278387
484717,7,0,1,51,6,20,13,10,1,294.942102,231,9,322,2,3.76472030279138e-06,0.999996235278387
484717,8,0,1,51,6,20,13,10,1,294.942102,159,8,237,1,3.76472030279138e-06,0.999996235278387
484717,9,0,1,51,6,20,13,10,1,294.942102,204,8,290,1,3.76472030279138e-06,0.999996235278387
484717,10,0,1,51,6,20,13,10,1,294.942102,196,8,281,1,3.76472030279138e-06,0.999996235278387
484717,11,0,1,51,6,20,13,10,1,294.942102,191,9,277,2,3.76472030279138e-06,0.999996235278387
392965,1,0,2,3379,339,275,189,10,2,333.68406,0,0,0,-7,0.999991162928238,8.83707176153811e-06
392965,2,0,2,3379,339,275,189,10,2,333.68406,209,10,317,3,0.999991162928238,8.83707176153811e-06
392965,3,1,2,3379,339,275,189,10,2,333.68406,206,10,314,3,0.999991162928238,8.83707176153811e-06
392965,4,0,2,3379,339,275,189,10,2,333.68406,228,10,336,3,0.999991162928238,8.83707176153811e-06
392965,5,0,2,3379,339,275,189,10,2,333.68406,209,9,298,2,0.999991162928238,8.83707176153811e-06
392965,6,0,2,3379,339,275,189,10,2,333.68406,226,8,316,1,0.999991162928238,8.83707176153811e-06
392965,7,0,2,3379,339,275,189,10,2,333.68406,210,10,318,3,0.999991162928238,8.83707176153811e-06
392965,8,0,2,3379,339,275,189,10,2,333.68406,274,9,373,2,0.999991162928238,8.83707176153811e-06
392965,9,0,2,3379,339,275,189,10,2,333.68406,246,10,354,3,0.999991162928238,8.83707176153811e-06
392965,10,0,2,3379,339,275,189,10,2,333.68406,299,10,409,3,0.999991162928238,8.83707176153811e-06
392965,11,0,2,3379,339,275,189,10,2,333.68406,215,8,303,1,0.999991162928238,8.83707176153811e-06
771991,1,0,2,0,0,0,0,10,2,327.968165,0,0,0,-7,0.999975334162123,2.46658378771959e-05
771991,2,0,2,0,0,0,0,10,2,327.968165,204,8,290,1,0.999975334162123,2.46658378771959e-05
771991,3,0,2,0,0,0,0,10,2,327.968165,220,9,312,2,0.999975334162123,2.46658378771959e-05
771991,4,0,2,0,0,0,0,10,2,327.968165,227,9,319,2,0.999975334162123,2.46658378771959e-05
771991,5,0,2,0,0,0,0,10,2,327.968165,295,8,397,1,0.999975334162123,2.46658378771959e-05
771991,6,0,2,0,0,0,0,10,2,327.968165,209,9,298,2,0.999975334162123,2.46658378771959e-05
771991,7,1,2,0,0,0,0,10,2,327.968165,207,10,322,3,0.999975334162123,2.46658378771959e-05
771991,8,0,2,0,0,0,0,10,2,327.968165,255,8,350,1,0.999975334162123,2.46658378771959e-05
771991,9,0,2,0,0,0,0,10,2,327.968165,205,8,291,1,0.999975334162123,2.46658378771959e-05
771991,10,0,2,0,0,0,0,10,2,327.968165,253,9,348,2,0.999975334162123,2.46658378771959e-05
771991,11,0,2,0,0,0,0,10,2,327.968165,256,8,351,1,0.999975334162123,2.46658378771959e-05
1021955,1,0,2,20,2,3,1,10,0,224.581657,0,0,0,-7,7.40812146554732e-36,1.69335598449198e-15
1021955,2,0,2,20,2,3,1,10,0,224.581657,130,10,236,3,7.40812146554732e-36,1.69335598449198e-15
1021955,3,1,2,20,2,3,1,10,0,224.581657,118,10,223,3,7.40812146554732e-36,1.69335598449198e-15
1021955,4,0,2,20,2,3,1,10,0,224.581657,135,10,241,3,7.40812146554732e-36,1.69335598449198e-15
1021955,5,0,2,20,2,3,1,10,0,224.581657,113,10,220,3,7.40812146554732e-36,1.69335598449198e-15
1021955,6,0,2,20,2,3,1,10,0,224.581657,135,10,233,3,7.40812146554732e-36,1.69335598449198e-15
1021955,7,0,2,20,2,3,1,10,0,224.581657,115,9,187,2,7.40812146554732e-36,1.69335598449198e-15
1021955,8,0,2,20,2,3,1,10,0,224.581657,125,8,197,1,7.40812146554732e-36,1.69335598449198e-15
1021955,9,0,2,20,2,3,1,10,0,224.581657,160,9,240,2,7.40812146554732e-36,1.69335598449198e-15
1021955,10,0,2,20,2,3,1,10,0,224.581657,111,9,186,2,7.40812146554732e-36,1.69335598449198e-15
1021955,11,0,2,20,2,3,1,10,0,224.581657,196,9,282,2,7.40812146554732e-36,1.69335598449198e-15
831757,1,0,2,564,57,128,119,10,0,234.745183,0,0,0,-7,2.28342754921331e-28,6.1070057663601e-13
831757,2,0,2,564,57,128,119,10,0,234.745183,112,9,184,2,2.28342754921331e-28,6.1070057663601e-13
831757,3,0,2,564,57,128,119,10,0,234.745183,134,10,226,3,2.28342754921331e-28,6.1070057663601e-13
831757,4,0,2,564,57,128,119,10,0,234.745183,184,9,267,2,2.28342754921331e-28,6.1070057663601e-13
831757,5,0,2,564,57,128,119,10,0,234.745183,137,8,211,1,2.28342754921331e-28,6.1070057663601e-13
831757,6,0,2,564,57,128,119,10,0,234.745183,107,10,203,3,2.28342754921331e-28,6.1070057663601e-13
831757,7,0,2,564,57,128,119,10,0,234.745183,190,10,281,3,2.28342754921331e-28,6.1070057663601e-13
831757,8,1,2,564,57,128,119,10,0,234.745183,179,10,272,3,2.28342754921331e-28,6.1070057663601e-13
831757,9,0,2,564,57,128,119,10,0,234.745183,115,9,187,2,2.28342754921331e-28,6.1070057663601e-13
831757,10,0,2,564,57,128,119,10,0,234.745183,174,9,256,2,2.28342754921331e-28,6.1070057663601e-13
831757,11,0,2,564,57,128,119,10,0,234.745183,178,9,260,2,2.28342754921331e-28,6.1070057663601e-13
392943,1,0,2,0,0,1,0,10,2,343.625193,0,0,0,-7,0.999999993190233,6.80976728992328e-09
392943,2,0,2,0,0,1,0,10,2,343.625193,248,9,343,2,0.999999993190233,6.80976728992328e-09
392943,3,0,2,0,0,1,0,10,2,343.625193,241,9,336,2,0.999999993190233,6.80976728992328e-09
392943,4,0,2,0,0,1,0,10,2,343.625193,277,9,377,2,0.999999993190233,6.80976728992328e-09
392943,5,0,2,0,0,1,0,10,2,343.625193,231,8,322,1,0.999999993190233,6.80976728992328e-09
392943,6,0,2,0,0,1,0,10,2,343.625193,203,8,289,1,0.999999993190233,6.80976728992328e-09
392943,7,0,2,0,0,1,0,10,2,343.625193,204,10,319,3,0.999999993190233,6.80976728992328e-09
392943,8,0,2,0,0,1,0,10,2,343.625193,286,10,397,3,0.999999993190233,6.80976728992328e-09
392943,9,0,2,0,0,1,0,10,2,343.625193,285,8,385,1,0.999999993190233,6.80976728992328e-09
392943,10,0,2,0,0,1,0,10,2,343.625193,245,9,340,2,0.999999993190233,6.80976728992328e-09
392943,11,1,2,0,0,1,0,10,2,343.625193,216,10,330,3,0.999999993190233,6.80976728992328e-09
1079608,1,1,1,0,0,0,0,10,1,291.588882,0,0,0,-7,1.73266286590159e-07,0.999999826709746
1079608,2,0,1,0,0,0,0,10,1,291.588882,216,8,304,1,1.73266286590159e-07,0.999999826709746
1079608,3,0,1,0,0,0,0,10,1,291.588882,226,8,316,1,1.73266286590159e-07,0.999999826709746
1079608,4,0,1,0,0,0,0,10,1,291.588882,160,8,238,1,1.73266286590159e-07,0.999999826709746
1079608,5,0,1,0,0,0,0,10,1,291.588882,173,8,254,1,1.73266286590159e-07,0.999999826709746
1079608,6,0,1,0,0,0,0,10,1,291.588882,181,8,263,1,1.73266286590159e-07,0.999999826709746
1079608,7,0,1,0,0,0,0,10,1,291.588882,205,10,308,3,1.73266286590159e-07,0.999999826709746
1079608,8,0,1,0,0,0,0,10,1,291.588882,181,8,263,1,1.73266286590159e-07,0.999999826709746
1079608,9,0,1,0,0,0,0,10,1,291.588882,216,8,304,1,1.73266286590159e-07,0.999999826709746
1079608,10,0,1,0,0,0,0,10,1,291.588882,248,8,342,1,1.73266286590159e-07,0.999999826709746
